Departamento,Municipio,CODIGO DANE,ARMAS MEDIOS,FECHA HECHO,CANTIDAD
CAQUETÁ,EL PAUJIL,18256000,COMBUSTIBLE,09/05/2010,1
ARAUCA,SARAVENA,81736000,BICICLETA BOMBA,10/05/2010,1
ANTIOQUIA,SAN ANDRÉS DE CUERQUÍA,5647000,ARTEFACTO INCENDIARIO,12/05/2010,1
TOLIMA,IBAGUÉ (CT),73001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,15/05/2010,1
ANTIOQUIA,TOLEDO,5819000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,17/05/2010,1
CHOCÓ,TADÓ,27787000,GRANADA DE MANO,17/05/2010,1
META,VISTAHERMOSA,50711000,MINA ANTIPERSONA,17/05/2010,1
ANTIOQUIA,CAUCASIA,5154000,GRANADA DE MANO,18/05/2010,1
META,VISTAHERMOSA,50711000,MINA ANTIPERSONA,19/05/2010,1
ANTIOQUIA,CAUCASIA,5154000,GRANADA DE MANO,20/05/2010,1
META,VISTAHERMOSA,50711000,MINA ANTIPERSONA,20/05/2010,1
CÓRDOBA,TIERRALTA,23807000,GRANADA DE MANO,21/05/2010,1
META,URIBE,50370000,MINA ANTIPERSONA,22/05/2010,1
NORTE DE SANTANDER,TIBÚ,54810000,ARTEFACTO INCENDIARIO,22/05/2010,1
ANTIOQUIA,CAUCASIA,5154000,GRANADA DE MANO,23/05/2010,1
HUILA,NEIVA (CT),41001000,CANTINA BOMBA,23/05/2010,1
ANTIOQUIA,CAUCASIA,5154000,GRANADA DE MANO,24/05/2010,1
CALDAS,MANIZALES (CT),17001000,PETARDO PLANFETARIO,25/05/2010,1
NARIÑO,PASTO (CT),52001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,25/05/2010,1
ANTIOQUIA,TARAZÁ,5790000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,26/05/2010,1
PUTUMAYO,PUERTO CAICEDO,86569000,ARTEFACTO INCENDIARIO,28/05/2010,1
RISARALDA,PEREIRA (CT),66001000,PAQUETE BOMBA,28/05/2010,1
ANTIOQUIA,GUADALUPE,5315000,CILINDRO BOMBA,29/05/2010,1
CAUCA,PIENDAMÓ,19548000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,29/05/2010,1
CAUCA,EL TAMBO,19256000,ARTEFACTO INCENDIARIO,30/05/2010,1
ARAUCA,TAME,81794000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,31/05/2010,1
ANTIOQUIA,CAUCASIA,5154000,GRANADA DE MANO,02/06/2010,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,GRANADA DE MANO,02/06/2010,1
CAUCA,POPAYÁN (CT),19001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,03/06/2010,1
ANTIOQUIA,CAUCASIA,5154000,GRANADA DE MANO,05/06/2010,1
ANTIOQUIA,VALDIVIA,5854000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,07/06/2010,1
ANTIOQUIA,CAUCASIA,5154000,GRANADA DE MANO,07/06/2010,1
NARIÑO,SAMANIEGO,52678000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,09/06/2010,1
ANTIOQUIA,SANTA ROSA DE OSOS,5686000,GRANADA DE MANO,10/06/2010,1
TOLIMA,ESPINAL,73268000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,10/06/2010,1
ANTIOQUIA,APARTADÓ,5045000,PAQUETE BOMBA,11/06/2010,1
PUTUMAYO,PUERTO ASÍS,86568000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,11/06/2010,1
MAGDALENA,SANTA MARTA (CT),47001000,GRANADA DE MANO,14/06/2010,1
ANTIOQUIA,CAUCASIA,5154000,GRANADA DE MANO,16/06/2010,1
CAUCA,PURACÉ,19585000,ARTEFACTO INCENDIARIO,18/06/2010,1
ANTIOQUIA,YARUMAL,5887000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,19/06/2010,1
NORTE DE SANTANDER,TIBÚ,54810000,ARTEFACTO INCENDIARIO,19/06/2010,1
TOLIMA,PLANADAS,73555000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,19/06/2010,1
HUILA,PITALITO,41551000,COMBUSTIBLE,20/06/2010,1
NARIÑO,SAMANIEGO,52678000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,20/06/2010,1
NORTE DE SANTANDER,TIBÚ,54810000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,20/06/2010,1
TOLIMA,CHAPARRAL,73168000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,21/06/2010,1
CAQUETÁ,SAN VICENTE DEL CAGUÁN,18753000,COMBUSTIBLE,22/06/2010,1
ANTIOQUIA,YARUMAL,5887000,ARTEFACTO INCENDIARIO,24/06/2010,1
HUILA,NEIVA (CT),41001000,GRANADA DE MANO,24/06/2010,1
CHOCÓ,TADÓ,27787000,GRANADA DE MANO,26/06/2010,1
TOLIMA,IBAGUÉ (CT),73001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,27/06/2010,1
TOLIMA,LÍBANO,73411000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,27/06/2010,1
HUILA,ALGECIRAS,41020000,COMBUSTIBLE,28/06/2010,1
HUILA,ISNOS,41359000,COMBUSTIBLE,28/06/2010,1
HUILA,NEIVA (CT),41001000,GRANADA DE MANO,30/06/2010,1
HUILA,PALERMO,41524000,GRANADA DE MANO,01/07/2010,1
ANTIOQUIA,GUADALUPE,5315000,GRANADA DE MANO,05/07/2010,1
ANTIOQUIA,CAUCASIA,5154000,GRANADA DE MANO,07/07/2010,1
GUAJIRA,RIOHACHA (CT),44001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,08/07/2010,1
CAUCA,CALDONO,19137000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,09/07/2010,1
NORTE DE SANTANDER,EL TARRA,54250000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,12/07/2010,1
ARAUCA,SARAVENA,81736000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,13/07/2010,1
HUILA,SUAZA,41770000,COMBUSTIBLE,14/07/2010,1
CAQUETÁ,SAN VICENTE DEL CAGUÁN,18753000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,15/07/2010,1
TOLIMA,CHAPARRAL,73168000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,16/07/2010,1
HUILA,AIPE,41016000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,19/07/2010,1
HUILA,NEIVA (CT),41001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,20/07/2010,2
ANTIOQUIA,ANORÍ,5040000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,21/07/2010,1
ANTIOQUIA,ANORÍ,5040000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,23/07/2010,1
ARAUCA,ARAUCA (CT),81001000,GRANADA DE MANO,26/07/2010,1
TOLIMA,PLANADAS,73555000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,26/07/2010,1
ANTIOQUIA,MEDELLÍN (CT),5001000,GRANADA DE MANO,31/07/2010,1
ARAUCA,ARAUCA (CT),81001000,GRANADA DE MANO,01/08/2010,1
TOLIMA,CHAPARRAL,73168000,CABALLO BOMBA,01/08/2010,1
